kana,kanji,rank
ゆずる,譲,6000
ゆそう,輸送,6000
ゆたか,豊,6000
ゆだん,油断,6000
ゆっくり,,2000
ゆでる,茹,2000
ゆにゅう,輸入,2000
ゆのみ,湯飲,6000
ゆび,指,2000
ゆびさす,指差,6000
ゆびわ,指輪,2000
ゆみ,弓,6000
ゆめ,夢,2000
ゆるい,緩,2000
ゆるす,許,2000
ゆるむ,緩・弛,6000
ゆるめる,緩・弛,6000
ゆれる,揺,2000
よ,夜,6000
よあけ,夜明,6000
よい,良,2000
よう,酔,2000
ようい,用意,2000
ようか,八日,2000
ようが,洋画,6000
ようき,容器,6000
ようきゅう,要求,2000
ようけん,用件,6000
ようご,用語,6000
ようさい,洋裁,6000
ようし,要旨,6000
ようしつ,洋室,6000
ようしょく,洋食,6000
ようじ,用事,2000
ようじん,用心,2000
ようす,様子,2000
ようする,要,6000
ようせい,養成,6000
ようそ,要素,6000
ようち,幼稚,6000
ようちえん,幼稚園,2000
ようてん,要点,6000
ようと,用途,6000
ようび,曜日,6000
ようふう,洋風,6000
ようふく,洋服,2000
ようぼう,要望,6000
ようもう,羊毛,6000
ようやく,,2000
ようりょう,要領,6000
よか,余暇,6000
よき,予期,6000
よきん,預金,6000
よく,,2000
よくあさ,翌朝,6000
よくしつ,浴室,6000
よくじつ,翌日,6000
よくねん,翌年,6000
よくばり,欲張,6000
よくぶか,欲深,6000
よくぼう,欲望,6000
よけい,余計,6000
よける,避,2000
よこ,横,2000
よこがお,横顔,6000
よこがき,横書,6000
よこぎる,横切,6000
よこす,,6000
よごす,汚,2000
よごれ,汚,6000
よごれる,汚,2000
よさん,予算,2000
よし,,6000
よしあし,善悪,6000
よしゅう,予習,6000
よす,止,6000
よせる,寄,6000
よそ,,2000
よそう,予想,2000
よち,余地,6000
よっか,四日,2000
よっつ,四,2000
よつかど,四角,6000
よてい,予定,2000
よとう,与党,6000
よなか,夜中,2000
よのなか,世中,6000
よびかける,呼掛,6000
よびだす,呼出,6000
よぶ,呼,2000
よぶん,余分,6000
よほど,余程,6000
よぼう,予防,2000
よみ,読,6000
よみかき,読書,6000
よみかた,読方,6000
よみがえる,,6000
よむ,読,2000
よめ,嫁,6000
よやく,予約,6000
よゆう,余裕,6000
より,,6000
よりかかる,寄掛,6000
よる,夜,2000
よろこび,喜,6000
よろこぶ,喜,2000
よろしい,,2000
よろしく,,6000
よろん,世論・与論,6000
よわい,弱,2000
よわめる,弱,6000
よわる,弱,6000
よん,四,6000
らい,来,6000
らいげつ,来月,2000
らいしゅう,来週,2000
らいにち,来日,6000
らいねん,来年,2000
らく,楽,2000
らくご,落語,6000
らくだい,落第,6000
らん,欄,6000
らんぼう,乱暴,2000
りえき,利益,2000
りか,理科,6000
りかい,理解,2000
りく,陸,2000
りくぐん,陸軍,6000
りくじょう,陸上,6000
りくつ,理屈,6000
りこう,利巧,2000
りこん,離婚,6000
りし,利子,6000
りそう,理想,2000
りそく,利息,2000
りっぱ,立派,2000
りつ,率,6000
りゃくご,略語,6000
りゃくす,略,6000
りゃくする,略,6000
りゅうがく,留学,2000
りゅうがくせい,留学生,6000
りゅうこう,流行,2000
りゆう,理由,2000
りょう,量,2000
りょうあし,両足,6000
りょうかい,了解・諒解,6000
りょうがえ,両替,6000
りょうがわ,両側,6000
りょうきん,料金,2000
りょうこう,良好,6000
りょうし,漁師,6000
りょうしゃ,両者,6000
りょうしん,両親,2000
りょうじかん,領事館,6000
りょうて,両手,6000
りょうど,領土,6000
りょうはし,両端,6000
りょうほう,両方,2000
りょうり,料理,2000
りょかく,旅客,6000
りょかくき,旅客機,6000
りょかん,旅館,2000
りょこう,旅行,2000
りょひ,旅費,6000
りよう,利用,2000
りれき,履歴,6000
りれきしょ,履歴書,6000
りろん,理論,2000
りんご,,2000
りんじ,臨時,6000
るいじ,類似,6000
るす,留守,2000
るすばん,留守番,6000
れい,礼,2000
れいがい,例外,2000
れいぎ,礼儀,2000
れいこく,冷酷,6000
れいせい,冷静,6000
れいぞう,冷蔵,6000
れいぞうこ,冷蔵庫,6000
れいたん,冷淡,6000
れいとう,冷凍,6000
れいぶん,例文,6000
れいぼう,冷房,6000
れきし,歴史,2000
れきしてき,歴史的,6000
れっしゃ,列車,6000
れっとう,列島,6000
れつ,列,2000
れんあい,恋愛,2000
れんが,煉瓦,6000
れんごう,連合,6000
れんしゅう,練習,2000
れんじつ,連日,6000
れんそう,連想,6000
れんぞく,連続,6000
れんたいし,連体詞,6000
れんぽう,連邦,6000
れんらく,連絡,2000
ろうか,廊下,2000
ろうじん,老人,2000
ろうそく,,6000
ろうどう,労働,2000
ろうどうしゃ,労働者,6000
ろうひ,浪費,6000
ろうりょく,労力,6000
ろく,六,2000
ろくおん,録音,2000
ろこつ,露骨,6000
ろん,論,6000
ろんずる,論,6000
ろんぶん,論文,2000
ろんり,論理,6000
ろんりてき,論理的,6000
わ,羽,2000
わえい,和英,6000
わか,和歌,6000
わかい,若,2000
わかす,沸,2000
わかめ,,6000
わかもの,若者,6000
わかる,分,2000
わかれ,別,6000
わかれる,別・分,2000
わかわかしい,若々,6000
わが,我,6000
わがくに,我国,6000
わがまま,,2000
わき,脇,6000
わく,沸・湧,2000
わけ,訳,2000
わける,分,2000
わざ,,6000
わざわざ,,2000
わしつ,和室,6000
わしょく,和食,6000
わすれもの,忘物,2000
わすれる,忘,2000
わずか,,2000
わた,綿,2000
わたくし,私,2000
わたし,私,2000
わたしたち,私達,2000
わたす,渡,2000
わたる,渡,2000
わだい,話題,2000
わび,詫,6000
わびる,詫,6000
わふう,和風,6000
わふく,和服,6000
わら,藁,6000
わらい,笑,6000
わらいごえ,笑声,6000
わらう,笑,2000
わり,割,6000
わりあい,,2000
わりあて,割当,6000
わりざん,割算,6000
わりびき,割引,6000
わる,割,2000
わるい,悪,2000
わるくち,悪口,6000
われる,割,2000
われわれ,我々,2000
わん,湾,6000
アイスクリーム,,6000
アイデア,,6000
アイロン,,6000
アクセサリー,,6000
アクセント,,2000
アジア,,6000
アナウンサー,,6000
アハハ,,6000
アパート,,2000
アフリカ,,6000
アマチュア,,6000
アメリカ,,6000
アラビア,,6000
アルカリ,,6000
アルコール,,6000
アルバイト,,6000
アルバム,,6000
アルミ,,6000
アンテナ,,6000
イギリス,,6000
イタリア,,6000
イメージ,,6000
イラク,,6000
インキ,,2000
インク,,2000
インテリ,,6000
イントネーション,,6000
インド,,6000
インドネシア,,6000
インフレ,,6000
ウィスキー,,6000
ウェートレス,,6000
ウール,,6000
エスカレーター,,6000
エチケット,,6000
エネルギー,,6000
エレベーター,,6000
エンジン,,6000
オランダ,,6000
オリンピック,,6000
オルガン,,6000
オートバイ,,6000
オーバー,,6000
カバー,,6000
カメラ,,2000
カメラマン,,6000
カラー,,6000
カルタ,,6000
カレンダー,,6000
カーテン,,6000
カード,,6000
ガス,,2000
ガソリン,,6000
ガラス,,2000
キャベツ,,6000
キリスト,,6000
キロ,,2000
ギター,,6000
クイズ,,6000
クラシック,,6000
クラス,,6000
クラブ,,6000
クリスマス,,6000
クリーニング,,6000
クリーム,,6000
グラフ,,6000
グラム,,2000
グリーン,,6000
グループ,,6000
ケーキ,,6000
ゲーム,,6000
コップ,,2000
コピー,,6000
コンクリート,,6000
コンクール,,6000
コンセント,,6000
コース,,6000
コーチ,,6000
コート,,6000
コード,,6000
コーヒー,,2000
ゴム,,2000
ゴルフ,,6000
サイレン,,6000
サイン,,6000
サラダ,,6000
サラリーマン,,6000
サンドウィッチ,,6000
サークル,,6000
サービス,,6000
シャツ,,2000
ショック,,6000
シリーズ,,6000
シーズン,,6000
シーツ,,6000
ジェット,機,6000
ジャム,,6000
ジャーナリスト,,6000
ジュース,,6000
スイッチ,,6000
スカート,,2000
スキー,,6000
スケジュール,,6000
スケート,,6000
スタイル,,6000
スター,,6000
スタート,,6000
ステレオ,,6000
ステージ,,6000
スト,,6000
ストップ,,6000
ストライキ,,6000
ストーブ,,6000
スピーカー,,6000
スピーチ,,6000
スピード,,6000
スプーン,,6000
スペイン,,6000
スポーツ,,2000
スマート,,6000
スライド,,6000
スリッパ,,6000
スーツ,,6000
スーパー,,6000
スーパーマーケット,,6000
スープ,,6000
ズボン,,2000
セックス,,6000
セメント,,6000
センター,,6000
センチ,,2000
セーター,,6000
ゼロ,,2000
ソ,連,6000
ソース,,6000
タイ,,6000
タイプ,,6000
タイプライター,,6000
タイヤ,,6000
タオル,,6000
タクシー,,2000
タバコ,,2000
ダイヤル,,6000
ダム,,6000
ダンス,,6000
ダース,,6000
チャンス,,6000
チューリップ,,6000
チョコレート,,6000
チョーク,,6000
チーズ,,6000
チーム,,6000
テキスト,,6000
テスト,,6000
テニス,,2000
テレビ,,2000
テント,,6000
テンプラ,,6000
テンポ,,6000
テーブル,,2000
テープ,,6000
テープレコーダー,,6000
テーマ,,6000
デザイン,,6000
デパート,,2000
デート,,6000
トイレ,,6000
トツプ,,6000
トマト,,6000
トラック,,6000
トランプ,,6000
トン,,6000
トンネル,,6000
ドア,,2000
ドイツ,,6000
ドライブ,,6000
ドラマ,,6000
ドル,,6000
ナイフ,,2000
ナイロン,,6000
ニュアンス,,6000
ニュース,,2000
ネクタイ,,2000
ノイローゼ,,6000
ノック,,6000
ノート,,2000
ハイキング,,6000
ハダー,,2000
ハム,,6000
ハンカチ,,2000
ハンドバック,,6000
ハンドル,,6000
バイオリン,,6000
バケツ,,6000
バス,,2000
バッジ,,6000
バット,,6000
バナナ,,6000
バランス,,6000
パイプ,,6000
パスポート,,6000
パン,,2000
パンツ,,6000
パーセント,,6000
パーティ,,6000
ビスケット,,6000
ビタミン,,6000
ビニール,,6000
ビル,,6000
ビルマ,,6000
ビール,,2000
ピアノ,,2000
ピクニック,,6000
ピストル,,6000
ピン,,6000
ピンク,,6000
ファスナー,,6000
ファン,,6000
フィルム,,6000
フライパン,,6000
フランス,,6000
ブラウス,,6000
ブレーキ,,6000
ブーム,,6000
プラス,,6000
プラスチック,,6000
プラットホーム,,6000
プラン,,6000
プリント,,6000
プレゼント,,6000
プロ,,6000
プログラム,,6000
プール,,6000
ヘリコプター,,6000
ベット,,2000
ベテラン,,6000
ベル,,2000
ベルト,,6000
ペン,,2000
ペンキ,,6000
ペンチ,,6000
ページ,,2000
ホテル,,2000
ホーク,,6000
ホーム,,6000
ボタン,,2000
ボーイ,,6000
ボート,,6000
ボーナス,,6000
ボール,,6000
ボールペン,,2000
ポケット,,2000
ポスター,,6000
マイク,,6000
マイナス,,6000
マスク,,6000
マッチ,,2000
マフラー,,6000
マヨネーズ,,6000
マンション,,6000
マーク,,6000
ミシン,,6000
ミス,,6000
ミスプリント,,6000
ミリ,,2000
ミルク,,2000
ムード,,6000
メニュー,,6000
メモ,,6000
メロディー,,6000
メンバー,,6000
メーター,,6000
メートル,,2000
モダン,,6000
モーター,,6000
ユネスコ,,6000
ユーモア,,6000
ヨーロッパ,,6000
ラケット,,6000
ラジオ,,2000
ラッシュアワー,,6000
ランチ,,6000
リズム,,6000
リットル,,6000
リポート,,6000
レインコート,,6000
レクリエーション,,6000
レコード,,6000
レストラン,,6000
レポート,,6000
レモン,,6000
レンズ,,6000
ロシア,語,6000
ローマ,字,2000
ワイシャツ,,2000
ワット,,6000
ワンピース,,6000
ヴィザ,,6000
