kana,kanji,rank
かんり,管理,6000
かんりょう,完了,6000
かんれん,関連,6000
かんろく,貫禄,6000
かんわ,漢和,6000
が,,6000
がい,外,2000
がいか,外貨,6000
がいかん,外観,6000
がいこう,外交,2000
がいこく,外国,2000
がいこくご,外国語,2000
がいこくじん,外国人,2000
がいしゅつ,外出,2000
がいしょう,外相,6000
がいじん,外人,6000
がいする,害,6000
がいとう,街頭,6000
がいねん,概念,6000
がいぶ,外部,6000
がいむ,外務,6000
がいらいご,外来語,6000
がか,画家,6000
がく,学,6000
がくしゃ,学者,6000
がくしゅう,学習,6000
がくせい,学生,2000
がくせつ,学説,6000
がくちょう,学長,6000
がくねん,学年,6000
がくひ,学費,6000
がくふ,楽譜,6000
がくぶ,学部,6000
がくもん,学問,2000
がくりょく,学力,6000
がくれき,学歴,6000
がけ,崖,6000
がたがた,,6000
がっか,学科,6000
がっかい,学会,6000
がっかり,,2000
がっき,学期,6000
がっこう,学校,2000
がっしょう,合唱,6000
がっぺい,合併,6000
がまん,我慢,2000
がら,柄,6000
がわ,側,2000
がん,癌,6000
がんこ,頑固,6000
がんしょ,願書,6000
がんじつ,元日,6000
がんじょう,頑丈,6000
がんばる,頑張,2000
がんらい,元来,6000
き,木,2000
きあつ,気圧,6000
きいろ,黄色,2000
きいろい,黄色,2000
きえる,消,2000
きおく,記憶,2000
きおん,気温,6000
きかい,機会,2000
きかく,企画,6000
きかす,聞,6000
きかん,期間,2000
きかんしゃ,機関車,6000
きがえ,着替,6000
きがえる,着替,6000
きがね,気兼,6000
きがる,気軽,6000
きき,危機,6000
ききて,聞手,6000
ききめ,利目,6000
ききょう,帰京,6000
きぎょう,企業,6000
きく,聞,2000
きぐ,器具,6000
きけん,危険,2000
きげき,喜劇,6000
きげん,機嫌,2000
きこう,気候,2000
きこえる,聞,2000
きこく,帰国,2000
きごう,記号,6000
きざむ,刻,6000
きし,岸,2000
きしつ,気質,6000
きしゃ,汽車,2000
きしょう,気象,6000
きじ,生地,6000
きじつ,期日,6000
きじゅん,基準・規準,6000
きすう,奇数,6000
きず,傷,2000
きずく,築,6000
